metric,threshold,reduction_level,time_taken,current_memory,peak_memory,node_count,edge_count,node_retention,edge_retention,connectivity
closeness_centrality,0.6,6,0.08311,1656.0,5740.0,1.0,0.0,0.5,0.0,1.0
closeness_centrality,0.8,0,2311.73785,34367.92,3779916.88,95.0,1459.0,0.2,0.1097900519226427,1.0
closeness_centrality,0.8,1,60.11742,10536.0,452772.0,19.0,128.0,0.2,0.08773132282385192,2.0
degree_centrality,0.2,0,0.13643,27608.8,34148.8,381.0,11411.0,0.8021052631578948,0.8586801113703063,2.0
degree_centrality,0.2,1,0.11238,25928.56,34724.56,306.0,9161.0,0.8031496062992126,0.8028218385768119,2.0
degree_centrality,0.2,2,0.08421,14280.0,16156.0,251.0,7320.0,0.8202614379084967,0.7990394061783648,1.0
degree_centrality,0.2,3,0.06895000000000001,12960.0,16156.0,201.0,5631.0,0.8007968127490039,0.7692622950819671,1.0
degree_centrality,0.2,4,0.05255,11760.0,16156.0,162.0,4359.0,0.8059701492537313,0.7741076185402238,1.0
degree_centrality,0.2,5,0.042350000000000006,6208.0,7388.0,132.0,3391.0,0.8148148148148148,0.7779307180545998,1.0
degree_centrality,0.2,6,0.032010000000000004,5488.0,7388.0,106.0,2541.0,0.803030303030303,0.7493364789147744,1.0
degree_centrality,0.2,7,0.02461,4864.0,7388.0,88.0,1956.0,0.8301886792452831,0.7697756788665879,1.0
degree_centrality,0.2,8,0.02001,4696.0,7388.0,71.0,1425.0,0.8068181818181818,0.7285276073619632,1.0
degree_centrality,0.2,9,0.018260000000000002,2272.0,3868.0,58.0,1077.0,0.8169014084507044,0.7557894736842106,1.0
degree_centrality,0.4,0,0.13455,27544.0,34084.0,290.0,8621.0,0.6105263157894737,0.6487320340130935,2.0
degree_centrality,0.4,1,0.09881999999999999,16064.4,18324.4,176.0,4698.0,0.6068965517241379,0.5449483818582531,1.0
degree_centrality,0.4,2,0.04771,11160.0,16156.0,109.0,2558.0,0.6193181818181818,0.5444870157513836,1.0
degree_centrality,0.4,3,0.02561,4936.0,7388.0,67.0,1272.0,0.6146788990825688,0.4972634870992963,1.0
degree_centrality,0.4,4,0.01869,2272.0,3868.0,41.0,607.0,0.6119402985074627,0.4772012578616352,1.0
degree_centrality,0.4,5,0.014119999999999999,1176.0,2236.0,25.0,372.0,0.6097560975609756,0.6128500823723229,1.0
degree_centrality,0.4,6,0.01113,1176.0,2236.0,15.0,157.0,0.6,0.4220430107526882,1.0
degree_centrality,0.4,7,0.00879,640.0,1420.0,9.0,62.0,0.6,0.3949044585987261,1.0
degree_centrality,0.4,8,0.00791,360.0,1012.0,6.0,28.0,0.6666666666666665,0.4516129032258064,1.0
degree_centrality,0.4,9,0.0066300000000000005,360.0,1012.0,5.0,20.0,0.8333333333333335,0.7142857142857143,1.0
degree_centrality,0.6,0,0.13849,27544.0,34084.0,192.0,5153.0,0.40421052631578935,0.38776431635187,1.0
degree_centrality,0.6,1,0.06355000000000001,13514.16,18126.16,78.0,1547.0,0.40625,0.3002134678827867,1.0
degree_centrality,0.6,2,0.02005,2272.0,3868.0,34.0,427.0,0.4358974358974359,0.2760180995475113,1.0
degree_centrality,0.6,3,0.0139,1176.0,2236.0,15.0,93.0,0.4411764705882353,0.2177985948477751,1.0
degree_centrality,0.6,4,0.0091,640.0,1420.0,10.0,49.0,0.6666666666666665,0.5268817204301075,3.0
degree_centrality,0.8,0,0.12703,27544.0,34084.0,98.0,2041.0,0.2063157894736842,0.153585672360599,1.0
degree_centrality,0.8,1,0.03794,6948.88,9352.88,21.0,172.0,0.2142857142857142,0.0842724154826065,1.0
degree_centrality,0.8,2,0.01039,640.0,1420.0,6.0,19.0,0.2857142857142857,0.1104651162790697,1.0
degree_centrality,0.8,3,0.00557,360.0,1012.0,4.0,11.0,0.6666666666666665,0.5789473684210527,1.0
degree_centrality,0.8,4,0.00501,232.0,724.0,2.0,2.0,0.5,0.1818181818181818,1.0
degree_centrality,0.8,5,0.00472,232.0,724.0,2.0,2.0,1.0,1.0,1.0
